,x,y,z,joint1,joint2,joint3,joint4,joint5,joint6,gripper
160,4.045267901032524,242.7014899886127,205.416520878077,113.020108,53.398922,44.569012,12.172832,-96.029675,-3.142101,1.0
161,3.2299880502828056,242.69835856943166,205.4089507440861,113.020108,53.398922,44.569012,12.315671,-96.029675,-3.142101,1.0
162,2.2407662320972537,242.7029297759112,205.40146408449377,113.020108,53.398922,44.568668,12.205835,-96.029675,-3.218991,1.0
163,1.4953809819472312,242.7091481236381,205.39792323517946,113.019764,53.398922,44.568439,13.51321,-96.029675,-3.262937,1.0
164,0.7293797685206387,242.70716186209236,205.3973913308033,113.019649,53.398922,44.568439,13.634046,-96.029675,-3.262937,1.0
165,-0.6423495240157109,242.68445119237538,205.39645483059667,113.019535,53.398922,44.567465,12.886967,-96.029675,-3.262937,1.0
166,-2.9387376155145586,242.62296091896178,205.39220283023525,113.019535,53.398922,44.567236,13.007804,-96.029675,-3.262937,1.0
167,-6.0306716818835975,242.4978974600557,205.3829701879181,113.019535,53.398922,44.567006,13.007804,-96.029675,-3.262937,1.0
168,-9.67340349707432,242.28676873949843,205.36736670014554,113.019535,53.398922,44.566835,12.897968,-96.029675,-3.262937,1.0
169,-13.59082700086868,241.98034242009825,205.3439793213141,113.019535,53.398922,44.566605,12.788074,-96.029675,-3.262937,1.0
170,-17.524247028042108,241.57703034579677,205.312017157222,113.019535,53.398922,44.566491,12.788074,-96.029675,-3.262937,1.0
171,-21.37455037419369,241.07935137310943,205.27452122005732,113.019535,53.398922,44.566147,12.886967,-96.029675,-3.262937,1.0
172,-25.253232302760424,240.4933117626664,205.2372361959728,113.019535,53.398922,44.565803,12.908911,-96.029675,-3.262937,1.0
173,-29.264952170364104,239.8212868547951,205.18835085242398,113.019535,53.398922,44.565689,12.886967,-96.029675,-3.262937,1.0
174,-33.32886290133104,239.05090234208174,205.0551839117545,113.019535,53.398922,44.565689,12.886967,-96.029675,-3.262937,1.0
175,-37.27945799494368,238.16336645441044,204.73582209320253,113.019535,53.398922,44.565402,13.007804,-96.029675,-3.273938,1.0
176,-41.0242217758944,237.14641188827852,204.13810660441104,113.019535,53.398922,44.565288,13.073751,-96.029675,-3.273938,1.0
